"benchmark","size","baseline_energy_mean","opt_energy_mean","reduction_pct","p_value","is_significant","effect_size","effect_magnitude"
"approx","large",0.46733,0.46127,1.29672822202726,0.202,"No",0.419300302674762,"moderate"
"approx","small",0.40502,0.3873,4.37509258802035,0.105,"No",0.531843156256751,"large"
"audio_filters","large",1.6015,1.45229,9.31689041523571,0.846,"No",0.080582296402538,"small"
"audio_filters","small",1.58816,1.62158,-2.10432198267177,0.375,"No",0.306212726329645,"moderate"
"basic_string","large",10.72528,4.33041,59.6242708815061,0.00195,"Yes",0.886405260427918,"large"
"basic_string","small",0.74481,0.67551,9.30438635356667,0.432,"No",0.273979807768629,"small"
"diophantine_equation","large",0.58265,0.58428,-0.279756285934956,0.557,"No",0.209513970646599,"small"
"diophantine_equation","small",0.38903,0.40044,-2.93293576330875,0.375,"No",0.306212726329645,"moderate"
"fib","large",2.03084,0.38543,81.0211538082764,0.00195,"Yes",0.886405260427918,"large"
"fib","small",0.40216,0.38697,3.77710364034216,0.0645,"No",0.596308993378781,"large"
"geometry","large",7.40513,1.34844,81.7904614773812,0.00195,"Yes",0.886405260427918,"large"
"geometry","small",0.64362,0.64851,-0.759765078773199,0.322,"No",0.33844564489066,"moderate"
"inline","large",0.50399,0.45501,9.71844679457926,0.00195,"Yes",0.886405260427918,"large"
"inline","small",0.39772,0.39852,-0.201146535250922,0.695,"No",0.145048133524568,"small"
"jacobi_iteration_method","large",1.53111,1.51048,1.34738849592779,0.625,"No",0.177281052085584,"small"
"jacobi_iteration_method","small",1.55192,1.52679,1.61928449920098,0.375,"No",0.306212726329645,"moderate"
"logic","large",31.24664,31.47674,-0.73639917763958,0.432,"No",0.273979807768629,"small"
"logic","small",0.38592,0.38706,-0.295398009950257,0.695,"No",0.145048133524568,"small"
"lu_decomposition","large",1.52662,1.49755,1.90420667880679,0.343,"No",0.322748612183951,"moderate"
"lu_decomposition","small",1.54237,1.51344,1.8756848227079,0.0488,"Yes",0.628541911939797,"large"
"md5","large",222.41311,2.12981,99.0424080666828,0.00195,"Yes",0.886405260427918,"large"
"md5","small",0.70134,0.52988,24.4474862406251,0.00195,"Yes",0.886405260427918,"large"
"merge_sort","large",45.02568,92.67348,-105.823609993231,0.00195,"Yes",0.886405260427918,"large"
"merge_sort","small",1.17103,1.07732,8.00235689948165,0.00391,"Yes",0.854172341866903,"large"
"sort","large",0.41674,0.40894,1.87167058597687,0.695,"No",0.145048133524568,"small"
"sort","small",0.37583,0.37335,0.65987281483649,0.625,"No",0.177281052085584,"small"
"string_concat","large",0.40224,0.42894,-6.63782816229117,0.0195,"Yes",0.725240667622842,"large"
"string_concat","small",0.37624,0.37532,0.244524771422505,0.557,"No",0.209513970646599,"small"
"sum_squares","large",0.74702,0.75725,-1.36944124655297,0.359,"No",0.306411759646941,"moderate"
"sum_squares","small",0.37724,0.37583,0.373767362951973,0.275,"No",0.370678563451675,"moderate"
"temp_storage","large",0.4788,0.46481,2.921888053467,0.375,"No",0.306212726329645,"moderate"
"temp_storage","small",0.36717,0.36641,0.206988588392293,0.846,"No",0.080582296402538,"small"
